"export-plot data (NetLogo 5.3.1)"
"JMA_adv_abm_v2.nlogo"
"06/26/2016 09:51:14:136 +1000"

"MODEL SETTINGS"
"num-dev-med","num-dev-large","num-dev-small"
"50","50","50"

"""#Developer"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","22.5","0","55","true","""default""","false","3"

"pen name","pen down?","mode","interval","color","x"
"""default""","true","0","1","15","22"
"""pen-1""","true","0","1","65","22"
"""pen-2""","true","0","1","45","22"

"""default""",,,,"""pen-1""",,,,"""pen-2"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","50","15","true","0","50","65","true","0","50","45","true"
"1","50","15","true","1","50","65","true","1","50","45","true"
"2","50","15","true","2","50","65","true","2","50","45","true"
"3","50","15","true","3","50","65","true","3","50","45","true"
"4","50","15","true","4","50","65","true","4","50","45","true"
"5","50","15","true","5","50","65","true","5","50","45","true"
"6","50","15","true","6","51","65","true","6","49","45","true"
"7","50","15","true","7","50","65","true","7","49","45","true"
"8","50","15","true","8","50","65","true","8","49","45","true"
"9","50","15","true","9","50","65","true","9","49","45","true"
"10","50","15","true","10","50","65","true","10","49","45","true"
"11","50","15","true","11","50","65","true","11","49","45","true"
"12","51","15","true","12","50","65","true","12","48","45","true"
"13","51","15","true","13","50","65","true","13","48","45","true"
"14","51","15","true","14","46","65","true","14","47","45","true"
"15","51","15","true","15","39","65","true","15","46","45","true"
"16","51","15","true","16","32","65","true","16","43","45","true"
"17","51","15","true","17","15","65","true","17","33","45","true"
"18","52","15","true","18","9","65","true","18","30","45","true"
"19","52","15","true","19","5","65","true","19","26","45","true"
"20","52","15","true","20","3","65","true","20","17","45","true"
"21","52","15","true","21","1","65","true","21","15","45","true"
"22","52","15","true","22","0","65","true","22","14","45","true"
